true_label,cell_type,latent_dim1,latent_dim2
0,0,0.4572897,-0.93824404
1,1,2.571307,-1.1505752
0,0,-0.17053299,1.3041315
0,0,-0.83081883,1.1620481
1,1,4.022797,0.41221747
0,0,-0.44327164,1.4007187
0,0,-1.7707655,3.6828706
0,0,0.054593977,2.8103728
0,0,-0.53025436,1.0090294
5,5,4.8721185,-4.3125973
1,1,1.0928742,0.38245055
0,0,-0.0006511919,2.2459605
0,0,-1.1938101,0.9161444
0,0,-1.0892467,2.3100758
5,5,6.8285313,-3.5994585
0,0,-2.0334175,2.8316462
4,4,5.0907807,1.389157
0,0,-0.57432276,-1.756284
0,0,-0.73177576,0.5033612
0,0,-1.4326544,2.1411417
5,5,5.674036,-4.5979857
4,4,4.2589,0.94029623
0,0,-0.40560904,0.4019837
4,4,3.6564856,0.43941832
3,3,1.0809741,-6.2524476
3,3,2.5153377,-5.5596046
3,3,0.313995,1.2126217
2,2,0.37794742,1.4689188
0,0,0.010281328,2.5191705
0,0,-2.1642919,3.8035636
2,2,-0.91826224,7.3139887
2,2,-1.0500551,6.130417
0,0,1.3641043,2.111676
4,4,5.2367516,1.1669347
4,4,3.5593925,1.331738
1,1,3.4347835,0.67753834
0,0,-0.10328427,0.42978513
1,1,4.129959,2.7310057
1,1,4.2300596,1.9701607
0,0,-0.23036912,2.2160485
0,0,-1.8444322,2.7808158
0,0,-1.8926237,0.0376871
1,1,3.1049218,0.74019134
1,1,2.4388838,0.26958656
3,3,2.414335,-5.8122406
0,0,-1.0281552,1.6474149
3,3,3.2074678,-4.714212
0,0,-0.110945284,2.8437028
1,1,3.5916061,-0.09235203
0,0,-0.78892833,0.23194894
3,3,1.1058826,-4.30677
0,0,-3.1443725,3.26271
4,4,4.3950458,1.6521094
2,2,-0.5511093,5.7970347
0,0,-1.5549291,2.8638635
0,0,-1.3718371,5.2586145
0,0,-1.3508162,0.21827582
1,1,3.9964638,1.8081348
2,2,0.6324123,7.0565915
5,5,6.0153713,-3.3675373
5,5,4.381474,-2.8217278
0,0,-2.1777222,1.9129395
3,3,-0.0019438155,-4.3456326
0,0,-1.6122787,0.7905683
2,2,2.1887696,0.85300326
0,0,0.03431871,-1.0530325
0,0,-0.66225576,2.850234
1,1,1.7287453,0.05677882
3,3,2.340529,-3.6319354
3,3,1.8442696,-4.476055
1,1,3.3782501,1.4539206
0,0,-1.0510656,5.532379
2,2,-0.28509107,6.0056624
0,0,-1.1467932,4.343405
0,0,-0.50897396,-0.61094487
2,2,-0.8540231,5.923752
3,3,2.6167352,-5.2254486
3,3,1.3125017,-3.95736
4,4,4.100757,2.3583755
1,1,4.296294,0.21985173
2,2,0.60651803,8.690878
1,1,4.3734426,2.3689098
0,0,-1.2474889,2.214786
1,1,3.7890778,1.7375801
1,1,3.6318147,-0.33389392
3,3,4.213372,-5.0072713
3,3,0.5036001,-2.089217
4,4,3.3609602,1.6760135
2,2,0.0011935905,6.6563234
4,4,3.6479607,1.8260968
5,5,5.495687,-2.2263477
3,3,2.188482,-5.812955
0,0,-2.5461628,1.8562999
0,0,-0.8347528,0.05968879
3,3,2.3462393,-4.4293
3,3,0.7546683,-2.628226
1,1,1.5567169,0.74512804
2,2,-0.24256651,7.104206
1,1,3.8272834,0.8284472
0,0,-0.66168207,1.654078
3,3,1.6583139,-4.1280828
6,6,8.986816,8.478963
1,1,1.3046186,0.78221375
1,1,3.1904306,4.017639
1,1,2.932111,-0.11484511
1,1,3.5774603,0.60726255
0,0,-1.5773642,2.0145144
1,1,-0.17538682,1.0271783
0,0,-1.4227346,1.5562406
0,0,-1.5776732,2.504954
1,1,5.654797,1.7933648
1,1,4.185801,1.9775236
2,2,-0.53528154,5.5078573
0,0,-0.53549814,1.1528168
2,2,-0.33738354,7.701174
0,0,-1.245939,1.1399813
1,1,2.080469,-0.43187538
4,4,4.459605,2.1313236
0,0,0.37991086,-1.860841
2,2,-0.92372036,8.105817
1,1,4.372338,2.0706513
0,0,-0.54775375,2.6123059
0,0,-1.3528074,-0.041746236
3,3,1.5946772,-2.8637972
3,3,0.49180955,-3.5145106
0,0,-1.0382291,-1.7044456
3,3,0.40826255,-3.6245127
4,4,3.3404229,1.3752003
0,0,-0.560638,5.3265214
0,0,-1.2977508,1.3695369
1,1,2.8555758,0.87606925
1,1,3.5113525,1.0537138
0,0,-1.2708815,-0.19469744
0,0,-1.1008896,2.7240837
0,0,-0.29624376,1.4967263
0,0,-1.4408095,3.2379334
0,0,-1.5243874,1.6128168
0,0,-0.45427382,-1.7853999
0,0,-1.5833348,1.2989817
0,0,1.4857943,-1.1456339
3,3,1.1449121,-4.642972
4,4,3.6659338,1.5037735
1,1,2.4967866,-0.45411512
1,1,1.8178848,-0.088700585
0,0,-0.27790043,2.7906165
0,0,-1.0060775,-0.48079038
3,3,1.9245918,-5.095702
0,0,-0.7085732,1.2260668
2,2,-0.97324944,6.2715425
2,2,-1.0558306,7.92853
2,2,0.56648815,6.2494493
0,0,-0.5444414,0.31010377
2,2,-0.9755586,6.603762
3,3,1.0930523,-4.203371
1,1,0.9197091,1.1158292
3,3,1.5433156,-3.2951539
0,0,-1.0556946,1.9505908
1,1,1.8803906,0.5323469
0,0,-1.9959943,3.5140073
0,0,-1.7718753,2.6661618
0,0,-2.4699898,2.8774877
0,0,-1.4243274,-1.9279234
0,0,-1.450299,2.3133137
0,0,0.42750853,-0.16111368
0,0,-2.2001846,3.2632859
0,0,-1.4283826,3.3284302
3,3,-0.5452201,-2.2710636
2,2,-1.4937443,8.321782
0,0,-1.4049482,2.4634626
5,5,3.1706274,-2.3943193
5,5,5.8741107,-3.9974682
0,0,-0.24800667,-1.750232
0,0,-2.5475497,1.2746098
0,0,-1.7540456,4.0498304
0,0,-1.6874925,2.346077
0,0,-0.08604525,0.06140828
3,3,-0.028365642,-2.5359478
3,3,1.5299901,-3.9036467
3,3,1.6799797,-2.9706583
5,5,7.0553594,-4.0462584
1,1,1.8589959,0.97058994
2,2,-0.7147746,8.502986
1,1,4.794035,0.2940454
3,3,0.4750055,-4.019335
2,2,0.109005526,2.7398114
1,1,3.0978162,0.47727895
0,0,0.09239277,1.6518185
2,2,-1.8585422,7.280366
2,2,0.62764305,6.8695602
0,0,-2.0151458,3.4654295
0,0,-0.64981675,0.9667352
0,0,-1.5898833,1.4063809
5,5,7.026623,-5.016127
2,2,1.8110152,-3.8474512
1,1,0.7390177,2.0928826
0,0,-1.5701439,1.224057
4,4,5.128197,2.1241302
2,2,-0.28516474,5.863824
0,0,-1.403842,-0.8635419
1,1,3.4134364,0.53267777
0,0,-2.5774627,3.0527492
3,3,1.1027732,-3.552144
3,3,1.2476958,-3.562382
1,1,3.9804325,0.91977656
0,0,-1.1755484,-0.41571766
5,5,6.5845175,-3.8154964
1,1,4.3108153,1.3345938
0,0,-0.727219,3.0657709
2,2,-1.0784856,8.97329
0,0,-2.9125583,2.4426036
4,4,3.2779799,1.8009493
2,2,-0.79866576,7.4806156
4,4,4.1534142,1.3323328
3,3,3.0092046,-4.0197225
2,2,-0.24140292,8.361402
0,0,-2.8863204,1.5476656
2,2,-0.64068484,7.083869
3,3,-0.87258035,-1.8734779
1,1,2.4802864,0.8803401
1,1,2.3726208,1.0809977
0,0,-0.70758337,2.6633127
0,0,-0.56910056,0.68875855
0,0,-0.6812056,2.209314
0,0,-3.0411863,2.2218816
1,1,3.253556,0.37279278
3,3,0.88927853,-2.7122886
3,3,2.33732,-4.7240233
5,5,4.9754624,-5.399338
2,2,-0.29038695,7.3288393
1,1,4.9115863,0.4881333
4,4,4.7281647,2.7355683
1,1,4.789057,2.2752457
1,1,3.3275428,0.6484024
3,3,1.6107813,-2.4039323
0,0,-2.0119612,2.65657
3,3,1.4498025,-5.469502
0,0,-1.4415969,-0.21918139
0,0,0.03002252,-1.1145813
0,0,-1.3710347,3.3439991
3,3,1.273371,-3.88614
0,0,-1.5664982,3.4644158
3,3,1.8407042,-4.3180137
0,0,-2.339605,2.505826
0,0,-1.3479027,0.43104804
0,0,-0.8557681,1.9831674
1,1,2.3087955,2.010423
1,1,3.0582447,0.23408109
2,2,-0.92842776,3.976303
0,0,-1.4515588,1.9100468
0,0,-0.9156146,1.5106785
3,3,2.0878973,-3.59163
1,1,2.2739222,-0.43983927
0,0,-0.69518244,-0.82050806
0,0,0.28597063,-0.93726575
0,0,-2.4028838,1.0238547
1,1,2.3066547,0.061215162
0,0,0.52985436,0.7901972
1,1,3.3909442,1.780205
0,0,-1.8485876,4.6296806
1,1,3.4969647,1.0625982
5,5,4.2464757,-4.836576
2,2,-0.7910083,4.8141947
3,3,4.384724,-6.226988
0,0,-1.8535223,4.479967
2,2,-1.3468162,8.270642
5,5,7.7504687,-4.2735796
4,4,3.171624,1.8281693
4,4,4.208224,2.0517778
0,0,-0.35374868,0.3436878
0,0,0.21999165,1.4278204
0,0,-2.0321994,4.2404785
0,0,-0.1390963,1.9968531
2,2,0.14039116,6.1107945
3,3,1.3084792,-2.1755948
0,0,-1.6826721,1.3084366
0,0,-1.3451371,-0.5145034
2,2,-0.28238463,8.220741
0,0,0.77421653,0.73300016
0,0,-2.0348516,1.1199486
0,0,-0.7451273,0.42854607
3,3,0.34432474,-2.7076106
0,0,-2.12995,2.907397
1,1,3.978992,-0.16025382
0,0,-1.0868373,1.5450916
1,1,1.4105594,0.63130033
5,5,6.4267187,-4.7716026
3,3,1.8027573,-4.328781
0,0,-2.1749806,1.4590054
2,2,-0.36446968,9.46375
1,1,1.9412401,1.9932294
1,1,0.5227514,-0.083421625
0,0,-1.8252518,1.3860493
2,2,0.24022993,7.8594756
0,0,-1.1158085,0.6886982
1,1,2.242308,0.3634576
0,0,1.2798388,3.467647
5,5,5.4204297,-5.9638457
2,2,-0.52643263,6.335495
1,1,2.2947347,-0.438764
1,1,3.8224714,1.4873855
0,0,-0.6475909,-0.26931345
4,4,3.1246407,-0.19463554
0,0,-2.2319288,0.6296889
1,1,3.7462604,-0.14587387
0,0,-0.31410095,3.5228472
3,3,1.9252238,-2.621217
3,3,0.40655407,-3.403686
4,4,4.3074183,0.83035153
0,0,-1.1524879,1.6448855
3,3,-0.71505773,-2.1322765
0,0,1.0131503,-1.0866201
1,1,3.665604,0.38788614
5,5,6.210349,-5.131987
2,2,-0.4097043,6.032305
3,3,2.045542,-4.6450934
1,1,4.844163,0.89079916
0,0,-0.47248086,2.0829556
1,1,2.0238628,-0.34981212
1,1,2.0992486,0.28106692
0,0,-0.0018120557,3.4800627
1,1,1.3855531,-0.038462885
5,5,5.705503,-4.4431105
1,1,4.296482,1.0989509
1,1,3.5484555,1.001466
1,1,4.060608,2.0983593
0,0,-2.075461,1.6647546
0,0,-1.008476,0.50782037
3,3,2.260918,-2.622255
5,5,4.502463,-5.080765
0,0,-1.4833839,4.4308124
3,3,4.328643,-5.4510446
0,0,-1.9922768,0.66053486
0,0,-0.51137924,1.0641625
0,0,-1.1663362,-1.053164
2,2,-1.2397164,7.5857325
2,2,-0.13173696,7.1920414
3,3,2.5058737,-5.626475
0,0,-0.9447431,2.2837067
3,3,-0.062468633,-1.8103957
4,4,4.5782475,1.6838815
2,2,-0.9154365,7.266037
1,1,3.274716,0.48901504
1,1,3.4231448,0.7424919
0,0,-1.2421064,1.6799855
4,4,3.4544191,0.7264554
0,0,-3.262487,2.510892
0,0,-0.16776364,1.0125582
0,0,-1.7333916,4.809263
0,0,-0.7376164,-0.2896128
2,2,0.20426486,7.1925287
0,0,-1.4418397,2.3760571
2,2,0.3003422,6.865825
1,1,3.6966581,1.6041348
3,3,2.4415164,-1.4941981
3,3,0.66698784,-1.7119095
0,0,-0.41958752,-1.2834628
1,1,5.6104937,1.8998706
4,4,3.8273404,0.3433809
1,1,1.8838477,-0.9236686
2,2,-0.42196187,7.212419
0,0,-1.963639,2.3848617
0,0,-2.7573657,1.8636401
1,1,2.937823,1.202158
2,2,-0.47716334,7.0555253
1,1,1.8856932,0.52197766
0,0,-2.0257676,3.614405
2,2,1.2043175,4.1027036
0,0,-0.7997508,-1.0874984
0,0,-0.25406188,1.8668282
1,1,4.001051,2.0392623
3,3,3.159921,-5.3618417
0,0,-0.510873,2.3249767
0,0,-1.2804359,1.6338573
1,1,4.0799537,1.8107276
1,1,1.8324509,4.415617
0,0,-1.8823621,4.3136044
0,0,-1.2791159,1.0756788
1,1,2.6984406,-0.285405
0,0,-2.5171497,3.245629
0,0,-2.4644263,2.6531713
2,2,-0.10198352,5.9526753
0,0,-1.7957637,0.5686059
0,0,-0.08144495,1.9751029
0,0,-1.3009925,2.6681898
0,0,0.22716627,-0.51649916
0,0,-0.37011978,-0.2191829
0,0,-1.9739612,0.4427957
2,2,-0.5202622,6.4480867
5,5,6.336039,-2.1116915
0,0,2.6016843,-1.8788815
1,1,4.0480976,3.8787832
4,4,4.860643,2.0335538
2,2,-0.5741042,6.7136893
2,2,0.4652313,4.4849815
0,0,0.99462646,0.79199976
0,0,-1.0886996,0.998177
0,0,-2.0275328,1.0753975
2,2,-0.0552183,7.07612
3,3,2.5133686,-4.406306
1,1,2.960805,-0.114806145
0,0,0.18579918,-1.347537
5,5,3.0051284,-4.908448
5,5,5.221811,-4.341034
0,0,0.31993556,1.1172848
4,4,4.185536,0.22004467
4,4,4.5406327,1.7033794
1,1,2.118386,-0.32099867
0,0,-2.3110843,1.5289052
0,0,-0.505224,0.7360525
2,2,-0.35438877,6.9866085
1,1,3.066785,0.24376523
0,0,-0.96374285,3.409789
2,2,0.38639933,7.380974
3,3,1.5932696,-3.883164
1,1,3.22938,2.1531022
0,0,-0.965853,0.55969656
1,1,2.8440158,0.84471786
3,3,3.0252163,-2.438893
0,0,-0.7016845,-0.6787138
0,0,-1.5362854,1.9632318
1,1,1.8385249,1.9725246
4,4,2.4043791,1.200711
6,6,9.138731,7.4709673
0,0,-1.0345769,2.253362
0,0,-1.1393616,0.22067544
